stanox,longitude,latitude
3377,-6.193831264,51.8237338
3381,-3.883541365,56.12166012
3383,-3.839816094,56.14927795
3401,-3.93493595,56.11996691
3402,-3.934890862,56.11906897
3403,-3.946233122,56.12068803
3404,-3.933328537,56.11999208
3419,-3.936047115,56.1100644
4009,-3.659520715,55.88764096
4010,-3.65963574,55.89033528
4012,-3.659482378,55.88674285
4023,-3.624475957,55.89080428
4023,-3.626055367,55.89033412
4023,-3.626074152,55.89078318
4025,-3.54651922,55.90079435
4028,-3.504015097,55.91839421
4030,-3.455994544,55.9248121
4032,-3.4021671,55.93397313
4034,-3.402134649,55.93307493
4086,-3.720579753,55.82210064
4088,-3.668125865,55.82731648
4090,-3.606527118,55.84341308
4100,-3.587774645,55.85354133
4101,-3.584581251,55.85358249
4102,-3.506931729,55.86983424
4104,-5.775859344,52.10994803
4105,-3.245057042,55.92667565
4106,-3.243457104,55.92669181
4107,-3.241799698,55.92491142
4108,0.168345036,52.95937866
4108,-3.24182843,55.92580968
4110,-3.467503791,55.88378962
4111,-3.462642132,55.88205029
4112,-3.430715647,55.8833241
4113,-3.392684065,55.89274608
4113,-3.39428251,55.89272799
4114,-3.316230369,55.90167432
4116,-3.284774766,55.91344528
4118,-3.25956324,55.92291596
4201,-3.37535829,55.98693157
4202,-3.376781358,55.98547798
4203,-3.376621751,55.98098693
4204,-3.376589209,55.98458156
4205,-3.376749433,55.98457977
4211,-3.316815713,55.95291331
4221,-3.253287088,55.94463521
4222,0.134100879,55.57623331
4225,-3.236000837,55.9438394
4230,-3.236029455,55.94473766
4230,-3.226396907,55.94393537
4231,-3.221651494,55.94577962
4233,-3.237630142,55.9447216
4234,-3.224796247,55.94395129
4235,-3.220050754,55.94579548
4239,-2.107266102,55.95178892
4291,-3.194632352,55.95233439
4303,-3.18982927,55.95238086
4307,-3.186627208,55.95241174
4309,-3.157808365,55.95268589
4408,-3.152765193,55.96189829
4517,-3.130642493,55.95473522
4521,-3.127440169,55.95476456
4601,-3.124570253,55.96625613
4612,-3.129028114,55.97079791
4613,-2.913297782,55.60941313
4614,0.084065377,54.58930463
4637,-3.121191336,55.9602128
4638,-3.098440883,55.94873671
4639,-3.119304699,55.95034603
4641,-3.108284076,55.94968189
4651,-3.108495911,55.94756842
4655,-3.08048348,55.92493152
4657,-3.112348589,55.92947305
4689,-3.226068789,55.9218971
4701,-3.237400941,55.93753546
4720,-3.080030295,55.92014629
4720,-3.081687611,55.92219838
4722,-3.080097761,55.92257175
4723,-3.080040289,55.92050561
4724,-3.081680104,55.92192889
4727,-3.079967835,55.91790049
4728,-3.079905385,55.91565469
4729,-3.079907882,55.91574452
4730,-3.037092959,55.93012961
4731,-3.083229815,55.92011819
4803,-3.068239099,55.93998995
4807,-2.908991006,55.40517976
4808,-2.858555838,53.26822503
4809,-3.01787403,55.92966094
4811,-2.970881889,55.93283468
4812,-2.965390687,55.93601368
4813,-2.955812394,55.93123634
4815,-2.958125614,55.94065287
4817,-2.859864152,55.95608647
4820,-2.776977696,55.97665558
4821,-2.774396393,55.97498264
4823,-2.776797596,55.96767169
4824,-2.728984365,56.05749858
4825,-2.574185304,55.99245721
4827,-2.513027045,55.99838729
4828,-5.481343807,56.7617585
4829,-2.401965433,55.95657082
4831,-2.445097784,55.98047496
4832,-2.403831314,55.97579222
4833,-2.255863823,55.91419312
4834,-2.26166718,55.9088619
4834,-2.273328306,55.90660833
4834,-2.255928466,55.91429182
4835,-2.186045382,55.85016644
